,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"You Need To Calm Down","Taylor Swift",1257684,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
54,"Good As Hell",Lizzo,1246213,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
55,"7 rings","Ariana Grande",1236606,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
56,Allergic,"Post Malone",1219695,https://open.spotify.com/track/1YscJ7yVTlFxW3eF6pv5ba
57,"I'm Gonna Be","Post Malone",1214087,https://open.spotify.com/track/1ckLp8lCl8LipXI0ypX72m
58,Teeth,"5 Seconds of Summer",1201389,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
59,"Staring At The Sun (feat. SZA)","Post Malone",1198600,https://open.spotify.com/track/5KE9b4x7Zj2A8XtbkqhqTe
60,"11 PM",Maluma,1175884,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
61,"If I Can't Have You","Shawn Mendes",1152790,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
62,"Hot (feat. Gunna)","Young Thug",1120583,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
63,"Talk (feat. Disclosure)",Khalid,1120437,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
64,"lovely (with Khalid)","Billie Eilish",1111688,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
65,Sucker,"Jonas Brothers",1111358,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
66,Happier,Marshmello,1100882,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
67,I.F.L.Y.,Bazzi,1099138,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
68,Shameless,"Camila Cabello",1047011,https://open.spotify.com/track/3UYiU57SMiAS5LqolhHJw1
69,"Post Malone (feat. RANI)","Sam Feldt",1026939,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
70,"when the party's over","Billie Eilish",1023973,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
71,"Con Calma","Daddy Yankee",1014396,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
72,Camelot,"NLE Choppa",1009959,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
73,"Without Me",Halsey,991542,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
74,"One Thing Right",Marshmello,987238,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
75,"The Man","Taylor Swift",984156,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70
76,"SICKO MODE","Travis Scott",963920,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
77,"Baby (Lil Baby feat. DaBaby)","Quality Control",956609,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
78,Myself,"Post Malone",955952,https://open.spotify.com/track/2cvOfKHOHgwQlLiuLKP2xR
79,"Behind Barz - Bonus",Drake,954931,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
80,"Eastside (with Halsey & Khalid)","benny blanco",952753,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
81,"rockstar (feat. 21 Savage)","Post Malone",947713,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
82,"Did It Again","Lil Tecca",938877,https://open.spotify.com/track/6alCTRgBPoeAFi2N4il9Q4
83,"Dancing With A Stranger (with Normani)","Sam Smith",937654,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
84,"Bohemian Rhapsody - Remastered 2011",Queen,930942,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
85,"Ride It",Regard,927294,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
86,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",926488,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
87,"3 Nights","Dominic Fike",922831,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
88,"thank u, next","Ariana Grande",913113,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
89,"Never Really Over","Katy Perry",910396,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
90,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dimelo Flow",904639,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
91,"Si Se Da - Remix","Myke Towers",902773,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
92,"223's (feat. 9lokknine)","YNW Melly",895647,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
93,"Panini - DaBaby Remix","Lil Nas X",895100,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD
94,"Otro Trago",Sech,894793,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
95,"Love Me","Lil Tecca",891247,https://open.spotify.com/track/3TLwAp3uX1nKsVxrDhNPOL
96,Goteo,Duki,890891,https://open.spotify.com/track/1EoEU4HY57qaITp06TkC6B
97,Suge,DaBaby,878820,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
98,"Ransom (with Juice WRLD) - Remix","Lil Tecca",877168,https://open.spotify.com/track/0DZJACISivjWjscIp5Kg1q
99,"Sweet but Psycho","Ava Max",875649,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
100,"Bad Bad Bad (feat. Lil Baby)","Young Thug",874141,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
101,Believer,"Imagine Dragons",871487,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
102,"Calma - Remix","Pedro Capó",867100,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
